,year,remaining debt,savings,ira,assets
0,1,100000.0,31500.0,5500.0,1000.0
0,2,105640.00000000001,63000.0,11550.0,1300.0
0,3,103091.20000000003,94500.0,18205.0,1690.0
0,4,100338.49600000004,126000.0,25525.5,2197.0
0,5,97365.57568000005,157500.0,33578.05,2856.1
0,6,94154.82173440006,189000.0,42435.855,3712.93
0,7,90687.20747315207,220500.0,52179.440500000004,4826.809
0,8,86942.18407100425,252000.0,62897.38455000001,6274.8517
0,9,82897.55879668459,283500.0,74687.12300500002,8157.307210000001
0,10,78529.36350041936,315000.0,87655.83530550002,10604.499373
0,11,73811.71258045292,346500.0,101921.41883605003,13785.849184900002
0,12,68716.64958688917,378000.0,117613.56071965504,17921.60394037
0,13,63213.981553840305,409500.0,134874.91679162055,23298.085122481003
0,14,57271.10007814753,441000.0,153862.40847078263,30287.510659225303
0,15,50852.78808439933,472500.0,174748.6493178609,39373.7638569929
0,16,43921.01113115128,504000.0,197723.514249647,51185.89301409077
0,17,36434.69202164339,535500.0,222995.86567461173,66541.660918318
0,18,28349.46738337486,567000.0,250795.45224207293,86504.1591938134
0,19,19617.42477404485,598500.0,281374.99746628024,112455.40695195741
0,20,10186.818755968441,630000.0,315012.4972129083,146192.02903754465
0,21,1.7642564459165442,661500.0,352013.7469341991,190049.63774880805
0,22,-10998.09460303841,693000.0,392715.1216276191,247064.52907345048
