,year,remaining debt,savings,assets
0,1,100000.0,37000.0,1000.0
0,2,105640.00000000001,74000.0,1300.0
0,3,103091.20000000003,111000.0,1690.0
0,4,100338.49600000004,148000.0,2197.0
0,5,97365.57568000005,185000.0,2856.1
0,6,94154.82173440006,222000.0,3712.93
0,7,90687.20747315207,259000.0,4826.809
0,8,86942.18407100425,296000.0,6274.8517
0,9,82897.55879668459,333000.0,8157.307210000001
0,10,78529.36350041936,370000.0,10604.499373
0,11,73811.71258045292,407000.0,13785.849184900002
0,12,68716.64958688917,444000.0,17921.60394037
0,13,63213.981553840305,481000.0,23298.085122481003
0,14,57271.10007814753,518000.0,30287.510659225303
0,15,50852.78808439933,555000.0,39373.7638569929
0,16,43921.01113115128,592000.0,51185.89301409077
0,17,36434.69202164339,629000.0,66541.660918318
0,18,28349.46738337486,666000.0,86504.1591938134
0,19,19617.42477404485,703000.0,112455.40695195741
0,20,10186.818755968441,740000.0,146192.02903754465
0,21,1.7642564459165442,777000.0,190049.63774880805
0,22,-10998.09460303841,814000.0,247064.52907345048
